Country,Region,HappinessScore,HappinessRank,GDPPerCapita,Family,LifeExpectancy,Freedom,GovernmentTrust,Generosity,Hemisphere,RealGDPPerCapita,Alcohol,Consumption
Denmark,Western Europe,7.526,1,1.44178,1.16374,0.79504,0.57941,0.44453,0.36171,North,53.579,BeerPerCapita,224
Switzerland,Western Europe,7.509,2,1.52733,1.14524,0.86303,0.58557,0.41203,0.28083,North,79.866,BeerPerCapita,185
Iceland,Western Europe,7.501,3,1.42666,1.18326,0.86733,0.56624,0.14975,0.47678,North,60.53,BeerPerCapita,233
Norway,Western Europe,7.498,4,1.57744,1.1269,0.79579,0.59609,0.35776,0.37895,North,70.89,BeerPerCapita,169
Finland,Western Europe,7.413,5,1.40598,1.13464,0.81091,0.57104,0.41004,0.25492,North,43.433,BeerPerCapita,263
Canada,North America,7.404,6,1.44015,1.0961,0.8276,0.5737,0.31329,0.44834,North,42.349,BeerPerCapita,240
Netherlands,Western Europe,7.339,7,1.46468,1.02912,0.81231,0.55211,0.29927,0.47416,North,45.638,BeerPerCapita,251
New Zealand,Australia and New Zealand,7.334,8,1.36066,1.17278,0.83096,0.58147,0.41904,0.49401,South,40.332,BeerPerCapita,203
Australia,Australia and New Zealand,7.313,9,1.44443,1.10476,0.8512,0.56837,0.32331,0.47407,South,49.897,BeerPerCapita,261
Sweden,Western Europe,7.291,10,1.45181,1.08764,0.83121,0.58218,0.40867,0.38254,North,51.845,BeerPerCapita,152
Israel,Middle East and Northern Africa,7.267,11,1.33766,0.99537,0.84917,0.36432,0.08728,0.32288,North,37.181,BeerPerCapita,63
Austria,Western Europe,7.119,12,1.45038,1.08383,0.80565,0.54355,0.21348,0.32865,North,44.731,BeerPerCapita,279
United States of America,North America,7.104,13,1.50796,1.04782,0.779,0.48163,0.14868,0.41077,North,57.589,BeerPerCapita,249
Costa Rica,Latin America and Caribbean,7.087,14,1.06879,1.02152,0.76146,0.55225,0.10547,0.22553,North,11.733,BeerPerCapita,149
Germany,Western Europe,6.994,16,1.44787,1.09774,0.81487,0.53466,0.28551,0.30452,North,42.233,BeerPerCapita,346
Brazil,Latin America and Caribbean,6.952,17,1.08754,1.03938,0.61415,0.40425,0.14166,0.15776,Both,8.639,BeerPerCapita,245
